source	zh	note
Barracks	兵營	建築名
Without a barracks, a city cannot organize and train regular military units.	沒有兵營，城市便無法組織並訓練常規軍事單位。	建築描述
Armory	軍械庫	建築名
An armory provides the city with a central location for the distribution and storage of arms and armor.	軍械庫為城市提供武器與盔甲的集中配發及儲存場所。	建築描述
Fighters Guild	戰士公會	建築名
A fighter's guild teaches troops basic fighting techniques.  All new troops start as regulars.	戰士公會傳授部隊基本戰鬥技術。所有新兵一律以正規兵身份入伍。	建築描述
Armorers Guild	鎧甲師公會	建築名
An armorer's guild provides troops with training in fighting techniques and basic battle tactics.	鎧甲師公會為部隊提供戰鬥技術與基礎作戰戰術的訓練。	建築描述
War College	戰爭學院	建築名
A war college teaches advanced battle strategy and tactics. All new troops start as veterans.	戰爭學院傳授高階作戰策略與戰術。所有新兵一律以老兵身份入伍。	建築描述
Smithy	鐵匠鋪	建築名
A smithy can develop and produce quality weaponry.	鐵匠鋪能夠研發並生產優質武器。	建築描述
Stables	馬廄	建築名
A stable provides training, housing and care of mounted troops and/or war beasts.	馬廄提供騎兵及戰獸的訓練、收容與照料。	建築描述
Animists Guild	泛靈公會	建築名
Increases each farmer's food harvest by 1, reduces unrest by 1, allows use of nightshade, doubles the healing rate of units inside the city.	每位農民的食物產量+1、動亂-1、允許使用夜影草，並使城內單位的治癒速度加倍。	建築描述
Fantastic Stable	奇獸馬廄	建築名
A city's fantastic stable houses and cares for magical beasts.	城市的奇獸馬廄負責收容並照料魔法野獸。	建築描述
Ship Wrights Guild	造船工公會	建築名
A ship wright's guild brings together skilled craftsmen to build small boats.	造船工公會集結技藝精湛的工匠來建造小型船隻。	建築描述
Ship Yard	船塢	建築名
A shipyard provides a city with the necessary equipment and workers to produce medium-sized ships.	船塢為城市提供建造中型船隻所需的設備與工人。	建築描述
Maritime Guild	海事公會	建築名
A maritime guild produces large ships by training, organizing, and supporting experienced ship builders.	海事公會透過培訓、組織並支援經驗豐富的造船師來建造大型船隻。	建築描述
Sawmill	鋸木廠	建築名
A sawmill will turn wood into deadly weaponry. It increases production by 25%, and improves the efficiency of Housing projects by 10%.	鋸木廠將木材加工為致命武器。生產+25%，並提升住宅建造效率10%。	建築描述
Library	圖書館	建築名
A library acts as a storehouse for knowledge and scholarship. It adds +2 spell research points.	圖書館作為知識與學術的儲藏所。法術研究點數+2。	建築描述
Sages Guild	賢者公會	建築名
A sage's guild is dedicated to the advanced study of magic.  It adds +3 spell research points and allows use of nightshade.	賢者公會致力於魔法的高階研究。法術研究點數+3，並允許使用夜影草。	建築描述
Oracle	神諭所	建築名
An Oracle provides a city with magical guidance, detecting all enemies within 4 squares of the city and reducing unrest by 2.	神諭所為城市提供魔法引導，偵測城市周圍4格內的所有敵方單位，並使動亂-2。	建築描述
Alchemists Guild	煉金公會	建築名
The alchemists' guild equips all new troops with magical weapons (+1 to hit), and generates +3 power as well.	煉金公會為所有新兵配備魔法武器（命中+1），同時產生+3魔力。	建築描述
