source	zh	note
Effects: Instant Combat\nTarget: 5 x 5 area\nCasting Cost: 15 mana\nUpkeep: none\nTurns a 5 x 5 area into thick, sticking mud for the duration of a battle. Mud costs a unit (enemy or friendly) all its movement points to enter. Flying and non-corporeal units are unaffected.	效果：即時戰鬥\n目標：5 x 5 範圍\n施法花費：15 法力\n維護：無\n在戰鬥持續期間，將 5 x 5 範圍化為濃稠黏滑的泥地。任何單位（敵方或友方）進入泥地格都需耗盡其所有移動力。飛行及非實體單位不受影響。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 5/25 mana\nUpkeep: 1 mana/turn\nGives a target unit increased resistance (+3) to the elemental magics of chaos and nature, and improved defense against normal magic ranged attacks (+3 to ranged defense).	效果：單位附魔\n目標：單一單位\n施法花費：5/25 法力\n維護：1 法力/回合\n使目標單位對混沌與自然系的元素魔法獲得更高抗性（+3），並提升對普通魔法遠程攻擊的防禦（遠程防禦+3）。	help
Effects: City Enchantment\nTarget: city\nCasting Cost: 50 mana\nUpkeep: none\nSurrounds a target city with a sturdy stone wall.	效果：城市附魔\n目標：城市\n施法花費：50 法力\n維護：無\n以堅固的石牆環繞目標城市。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 8/40 mana\nUpkeep: 1 mana/turn\nMakes a target unit's creatures stronger (adds +1 to each figure's melee attack strength).	效果：單位附魔\n目標：單一單位\n施法花費：8/40 法力\n維護：1 法力/回合\n使目標單位的生物更為強壯（每個個體的近戰攻擊強度+1）。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 10 mana\nUpkeep: none\nCasts a sticky, 12 hit point web over a target unit. Creatures cannot move until they destroy the web with melee and magic ranged attacks. Web remnants prevent flying units from flying for the rest of the battle.	效果：單位附魔\n目標：單一單位\n施法花費：10 法力\n維護：無\n在目標單位上罩下一張黏稠、具 12 點生命值的蛛網。生物在以近戰與魔法遠程攻擊摧毀蛛網之前無法移動。殘留的網絲使飛行單位在該場戰鬥剩餘時間內無法飛行。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 70 mana\nUpkeep: 2 mana/turn\nSummons a group of ferocious bears.	效果：召喚\n目標：不適用\n施法花費：70 法力\n維護：2 法力/回合\n召喚一群兇猛的熊。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 100 mana\nUpkeep: 3 mana/turn\nSummons sprites. Sprites are small, flying forest creatures that can hurl tiny magic attacks over long distances.	效果：召喚\n目標：不適用\n施法花費：100 法力\n維護：3 法力/回合\n召喚妖精。妖精是體型嬌小的飛行森林生物，能在遠距離投射細小的魔法攻擊。	help
Effects: Instant\nTarget: map window\nCasting Cost: 30 mana\nUpkeep: none\nFully reveals terrain, terrain specials, cities and armies on all squares in a targeted 'map window.'	效果：即時\n目標：地圖視窗\n施法花費：30 法力\n維護：無\n完全揭示目標「地圖視窗」內所有格子的地形、地形特產、城市與軍隊。	help
Effects: City Enchantment\nTarget: city\nCasting Cost: 75 mana\nUpkeep: 1 mana/turn\nExtends the scouting range of a friendly target city to 4 squares in any direction, revealing all lands and all non-invisible enemy troops within that radius.	效果：城市附魔\n目標：城市\n施法花費：75 法力\n維護：1 法力/回合\n將友方目標城市的偵察範圍延伸至各方向4格，揭示該半徑內的所有土地及所有非隱形的敵方部隊。	help
Effects: Instant Combat\nTarget: one unit\nCasting Cost: 10+ mana\nUpkeep: none\nShowers a target unit with shards of ice (strength 5 magic cold attack, with every extra point of magic power spent adding a strength of 1 to the attack).	效果：即時戰鬥\n目標：單一單位\n施法花費：10+ 法力\n維護：無\n以冰晶碎片轟擊目標單位（強度5的魔法冰冷攻擊，每多花費1點魔力便為攻擊增加1點強度）。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 200 mana\nUpkeep: 4 mana/turn\nSummons two giant, poisonous, web-casting spiders.	效果：召喚\n目標：不適用\n施法花費：200 法力\n維護：4 法力/回合\n召喚兩隻巨大、有毒、會吐絲結網的蜘蛛。	help
Effects: Instant Overland\nTarget: map square\nCasting Cost: 50 mana\nUpkeep: none\nAlters a target map square,changing deserts, forests, hills and swamps to grasslands; grasslands to forests; volcanoes to mountains; and mountains to hills. Terrain not listed is not a valid target.	效果：即時大地圖\n目標：地圖格\n施法花費：50 法力\n維護：無\n改變目標地圖格：將沙漠、森林、丘陵與沼澤變為草原；草原變為森林；火山變為山脈；山脈變為丘陵。未列出的地形不是有效目標。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 50 mana\nUpkeep: 1 mana/turn\nEndows a target unit (and any units stacked with it) with the ability to travel over all land terrain as if it were traveling over roads (i.e., the cost is only 1/2 movement point per square).	效果：單位附魔\n目標：單一單位\n施法花費：50 法力\n維護：1 法力/回合\n賦予目標單位（及與其同格堆疊的所有單位）在所有陸地地形上如同行走於道路般移動的能力（即每格僅耗1/2移動力）。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 275 mana\nUpkeep: 8 mana/turn\nSummons a cockatrice. The deceptively soft, feathered touch of the cockatrice is capable of turning even the hardiest creatures to stone.	效果：召喚\n目標：不適用\n施法花費：275 法力\n維護：8 法力/回合\n召喚一隻雞蛇獸。雞蛇獸柔軟羽翼看似無害的觸碰，卻能將最強悍的生物化為石頭。	help
Effects: Instant Overland\nTarget: map special\nCasting Cost: 60 mana\nUpkeep: none\nTransforms coal and ores in hills and mountains: coal to gems, iron to gold and silver to mithril. Transmute will also reverse these transformations gems to coal, gold to iron, and mithril to silver.	效果：即時大地圖\n目標：地圖特產\n施法花費：60 法力\n維護：無\n轉化丘陵與山脈中的煤與礦石：煤變為寶石、鐵變為黃金、白銀變為祕銀。嬗變術也能逆轉這些轉化：寶石變回煤、黃金變回鐵、祕銀變回白銀。	help
Effects: Instant Overland\nTarget: map square\nCasting Cost: 75 mana\nUpkeep: none\nCompletely heals all units (except for creatures of death) that are stacked in a target land square.	效果：即時大地圖\n目標：地圖格\n施法花費：75 法力\n維護：無\n完全治癒堆疊在目標陸地格上的所有單位（死亡系生物除外）。	help
Effects: Summoning\nTarget: map square\nCasting Cost: 325 mana\nUpkeep: 7 mana/turn\nSummons a giant basilisk. Basilisks are so frightening to behold that they can turn their enemies to stone simply by gazing in their direction.	效果：召喚\n目標：地圖格\n施法花費：325 法力\n維護：7 法力/回合\n召喚一隻巨大的石化蜥。石化蜥的容貌極其駭人，只需朝敵人方向凝視，便能將其化為石頭。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 35/175 mana\nUpkeep: 5 mana/turn\nImproves a target unit's defenses (shields) and resistance to Chaos and Nature magic (crosses), by 10 each. These bonuses do not exert cumulative effects with the spell resist elements.	效果：單位附魔\n目標：單一單位\n施法花費：35/175 法力\n維護：5 法力/回合\n將目標單位的防禦（盾牌）及對混沌與自然魔法的抗性（十字），各提升10點。這些加成與「元素抗性」法術的效果不可累加。	help
Effects: Instant Combat\nTarget: one unit\nCasting Cost: 35 mana\nUpkeep: none\nAttempts to turn an entire enemy unit into stone.	效果：即時戰鬥\n目標：單一單位\n施法花費：35 法力\n維護：無\n試圖將整個敵方單位化為石頭。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 450 mana\nUpkeep: 9 mana/turn\nSummons an enormous, wall-crushing stone giant. The massive stone giant is impervious to stoning attacks and can hurl huge boulders at its enemies.	效果：召喚\n目標：不適用\n施法花費：450 法力\n維護：9 法力/回合\n召喚一隻能摧牆的巨大石巨人。龐大的石巨人對石化攻擊免疫，並能朝敵人投擲巨石。	help
Effects: Instant Overland\nTarget: map square\nCasting Cost: 200 mana\nUpkeep: none\nCauses the skies above a target map square to rain down a torrent of icy hail. All figures occupying that area are struck with a strength 6 magic cold attack.	效果：即時大地圖\n目標：地圖格\n施法花費：200 法力\n維護：無\n使目標地圖格上方的天空降下傾盆冰雹。佔據該區域的所有個體都遭受強度6的魔法冰冷攻擊。	help
Effects: Instant Overland\nTarget: city\nCasting Cost: 200 mana\nUpkeep: none\nCauses a violent earthquake to shake a target city. All buildings have a 10% chance of being destroyed. All non- flying, corporeal creatures have a 15% chance of dying.	效果：即時大地圖\n目標：城市\n施法花費：200 法力\n維護：無\n使猛烈的地震撼動目標城市。所有建築都有10%的機率被摧毀。所有非飛行的實體生物都有15%的機率死亡。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 600 mana\nUpkeep: 15 mana/turn\nSummons gorgons. These monstrosities, just as their mythological namesakes, are so ugly and frightening to behold that enemies who mistakenly peek in their direction are turned to stone.	效果：召喚\n目標：不適用\n施法花費：600 法力\n維護：15 法力/回合\n召喚蛇髮女妖。這些怪物一如其神話中的同名者，容貌奇醜駭人，誤朝其方向窺視的敵人都會被化為石頭。	help
Effects: Instant Overland\nTarget: fortress\nCasting Cost: 200 mana\nUpkeep: none\nMoves a wizard's enchanted fortress (with summoning circle, if the circle has not previously been moved) to the target friendly city.	效果：即時大地圖\n目標：堡壘\n施法花費：200 法力\n維護：無\n將巫師附魔的堡壘（若召喚法陣先前未曾移動，則連同召喚法陣一併）移至目標友方城市。	help
Effects: City Enchantment\nTarget: city\nCasting Cost: 300 mana\nUpkeep: 3 mana/turn\nA target city's maximum food harvest increases by 50%. Every turn there is a 10% chance the city's deserts convert to grasslands and volcanoes to verdant hills, and a 20% chance that its corrupted lands return to their pristine state.	效果：城市附魔\n目標：城市\n施法花費：300 法力\n維護：3 法力/回合\n目標城市的最大食物產量提升50%。每回合該城市的沙漠有10%機率轉為草原、火山轉為蒼翠丘陵，並有20%機率使其遭腐化的土地恢復原始純淨狀態。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 60 mana\nUpkeep: none\nSummons an earth elemental. The creature cannot be summoned if there are already nine friendly units on the battlefield. The wall-crushing earth elemental disappears when the battle is over.	效果：召喚\n目標：不適用\n施法花費：60 法力\n維護：無\n召喚一隻土元素。若戰場上已有九個友方單位，則無法召喚此生物。能摧牆的土元素在戰鬥結束後便會消失。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 60/300 mana\nUpkeep: 10 mana/turn\nTarget unit can regenerate during combat (1 hit point/ turn) and afterwards (immediate return to full health). If the unit dies in combat, it returns in full health if its side won. Spell cannot return a creature that has been banished or unsummoned.	效果：單位附魔\n目標：單一單位\n施法花費：60/300 法力\n維護：10 法力/回合\n目標單位可在戰鬥中再生（每回合1點生命值），並於戰後即刻恢復至滿血。若該單位在戰鬥中陣亡，只要其陣營獲勝便會以滿血歸來。此法術無法使遭放逐或遣返的生物復歸。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 700 mana\nUpkeep: 15 mana/turn\nSummons a fierce behemoth. A behemoth is one of the strongest creatures that can be summoned to Arcanus and Myrror.	效果：召喚\n目標：不適用\n施法花費：700 法力\n維護：15 法力/回合\n召喚一隻兇猛的比蒙巨獸。比蒙巨獸是能被召喚至阿卡努斯與密羅爾的最強生物之一。	help
Effects: Combat Enchantment\nTarget: flying units\nCasting Cost: 50 mana\nUpkeep: none\nCauses all non-flying, corporeal enemy creatures to lose one movement point per turn. If a creature's movement points are zero, it cannot attack or move the rest of combat; but it can still strike back if attacked.	效果：戰鬥附魔\n目標：飛行單位\n施法花費：50 法力\n維護：無\n使所有非飛行的實體敵方生物每回合損失1點移動力。若某生物的移動力歸零，則其在戰鬥剩餘時間內無法攻擊或移動；但若遭攻擊仍可反擊。	help
Effects: Global Enchantment\nTarget: map\nCasting Cost: 800 mana\nUpkeep: 7 mana/turn\nReveals all lands, cities and non- invisible creatures on both Arcanus and Myrror!	效果：全域附魔\n目標：地圖\n施法花費：800 法力\n維護：7 法力/回合\n揭示阿卡努斯與密羅爾兩界上所有的土地、城市及非隱形生物！	help
Effects: Combat\nTarget: opponent\nCasting Cost: 60 mana\nUpkeep: none\nCalls a powerful electrical storm from which deadly lightning bolts issue. Three to five lightning bolts of strength 8 strike random enemy units at the beginning of every turn until the end of combat.	效果：戰鬥\n目標：對手\n施法花費：60 法力\n維護：無\n召來一場威力強大的雷暴，從中迸發致命的閃電。每回合開始時，三到五道強度8的閃電會擊中隨機的敵方單位，直到戰鬥結束。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 800 mana\nUpkeep: 17 mana/turn\nSummons an awe-inspiring colossus. A colossus is a rock- wielding fighting machine immune to all known forms of poison and petrification.	效果：召喚\n目標：不適用\n施法花費：800 法力\n維護：17 法力/回合\n召喚一尊令人敬畏的巨像。巨像是一台揮舞巨石的戰鬥機器，對所有已知形式的毒素與石化免疫。	help
Effects: City Enchantment\nTarget: city\nCasting Cost: 250 mana\nUpkeep: 5 mana/turn\nCreates a teleporting device within a target city. Friendly units can teleport between any two of the casting wizard's cities equipped with earth gates, for the cost of one movement point.	效果：城市附魔\n目標：城市\n施法花費：250 法力\n維護：5 法力/回合\n在目標城市內建立一座傳送裝置。友方單位只需1點移動力，即可在施法巫師任兩座裝有大地之門的城市間傳送。	help
Effects: Global Enchantment\nTarget: all units\nCasting Cost: 1000 mana\nUpkeep: 10 mana/turn\nCompletely heals all of a wizard's damaged units every game turn.	效果：全域附魔\n目標：所有單位\n施法花費：1000 法力\n維護：10 法力/回合\n每個遊戲回合完全治癒巫師所有受損的單位。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 1000 mana\nUpkeep: 20 mana/turn\nSummons a gigantic, poisonous, tunneling land wyrm. For all its bulk a great wyrm, with its ability to tunnel underground, is frighteningly fast on the battlefield.	效果：召喚\n目標：不適用\n施法花費：1000 法力\n維護：20 法力/回合\n召喚一隻巨大、有毒、會鑽地的陸行蠕龍。巨蠕龍儘管體型龐大，憑藉其鑽入地底的能力，在戰場上的移動速度快得驚人。	help
Effects: Global Enchantment\nTarget: n/a\nCasting Cost: 1250 mana\nUpkeep: 10 mana/turn\nFor every non-combat death or chaos spell cast, all the casting wizard's cities suffer tremors. Each non-flying, corporeal unit has a 10% chance of dying and each building a 5% chance of collapsing.	效果：全域附魔\n目標：不適用\n施法花費：1250 法力\n維護：10 法力/回合\n每當施放一個非戰鬥的死亡或混沌法術，施法巫師的所有城市便會震動。每個非飛行的實體單位有10%機率死亡，每棟建築有5%機率倒塌。	help
Effects: Unit Enchantment\nTarget: one unit\nCasting Cost: 5/25 mana\nUpkeep: 1 mana/turn\nAdds 3 to all resistance rolls versus magic.	效果：單位附魔\n目標：單一單位\n施法花費：5/25 法力\n維護：1 法力/回合\n所有對抗魔法的抗性檢定+3。	help
Effects: Instant Combat\nTarget: n/a\nCasting Cost: 10+ mana\nUpkeep: none\nA stronger version of the arcane Dispel Magic . Every point of mana spent on casting this spell counts as three for the purposes of dispelling the target unit's enchantments.	效果：即時戰鬥\n目標：不適用\n施法花費：10+ 法力\n維護：無\n秘術「解除魔法」的強化版本。施放此法術所花費的每1點魔力，在解除目標單位附魔時都以三點計算。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 50 mana\nUpkeep: 5 mana/turn\nSummons an apparently solid cloud to any visible ocean map square of a wizard's choice. This thick body of vapors can carry up to eight units across water and moves at a speed of two map squares/turn.	效果：召喚\n目標：不適用\n施法花費：50 法力\n維護：5 法力/回合\n在巫師選定的任一可見海洋地圖格上召喚一團看似堅實的雲。這團濃厚的霧氣可載運至多八個單位渡水，並以每回合兩格地圖格的速度移動。	help
Effects: Unit Enchantment\nTarget: friendly unit\nCasting Cost: 10/50 mana\nUpkeep: 1 mana/turn\nSurrounds the unit with a magically protective wall of air, making the unit almost totally immune to arrow and sling attacks.	效果：單位附魔\n目標：友方單位\n施法花費：10/50 法力\n維護：1 法力/回合\n以一道具魔法防護的氣牆環繞該單位，使其對弓箭與投石攻擊幾乎完全免疫。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 10 mana\nUpkeep: none\nSummons a group of illusory phantom warriors and binds them to the will of the wizard. The phantoms attack with illusory weapons that completely ignore the effects of armor. When combat ends, the phantom warriors disappear.	效果：召喚\n目標：不適用\n施法花費：10 法力\n維護：無\n召喚一群虛幻的幻影戰士，並將其束縛於巫師的意志之下。幻影以虛幻的武器攻擊，完全無視盔甲的防護效果。戰鬥結束時，幻影戰士便會消失。	help
Effects: Unit Enchantment\nTarget: enemy unit\nCasting Cost: 15 mana\nUpkeep: none\nAttempts to disorient a target unit. A confused unit does not recover (unless disenchanted) until after combat ends. Every turn the confused unit randomly does one of the following: stand around and do nothing, move randomly, attack allies, or attack enemies.	效果：單位附魔\n目標：敵方單位\n施法花費：15 法力\n維護：無\n試圖使目標單位陷入混亂。陷入混亂的單位在戰鬥結束前不會恢復（除非被祛魔）。每回合，混亂的單位會隨機做出下列其中一種行為：原地不動、隨機移動、攻擊友軍，或攻擊敵軍。	help
Effects: Combat Enchantment\nTarget: n/a\nCasting Cost: 10+ mana\nUpkeep: none\nCreates a reserve of counter magic power which resists all spells cast by an opponent wizard as if you had cast an equally-strong dispel magic. Each spell casting attempt by the opposing wizard reduces the strength of the counter magic reserve by five mana.	效果：戰鬥附魔\n目標：不適用\n施法花費：10+ 法力\n維護：無\n建立一道反制魔法力量的儲備，能抵抗對手巫師施放的所有法術，效果如同你施放了一道等強度的解除魔法。對方巫師每嘗試施放一次法術，便會使反制魔法儲備的強度減少五點法力。	help
Effects: Summoning\nTarget: n/a\nCasting Cost: 100 mana\nUpkeep: 2 mana/turn\nSummons a pair of trident-wielding nagas. These swimming creatures spit poison at their foes during combat.	效果：召喚\n目標：不適用\n施法花費：100 法力\n維護：2 法力/回合\n召喚一對手持三叉戟的娜迦。這些善泳的生物會在戰鬥中向敵人噴吐毒液。	help
