source	zh	note
AGILITY	敏捷	headline-auto
AIR ELEMENTAL	風元素	headline-auto
ALCHEMISTS GUILD	煉金公會	headline-auto
ALCHEMY	煉金術	headline-auto
ALLIANCE	同盟	headline-auto
ALLOWS	允許建造	headline-auto
ALTAR OF BATTLE	戰鬥祭壇	headline-auto
ANGEL	天使	headline-auto
ANIMATE DEAD	喚醒亡者	headline-auto
ANIMIST'S GUILD	泛靈公會	headline-auto
ARCHMAGE	大巫師	headline-auto
ARMAGEDDON	末日浩劫	headline-auto
ARMOR	護甲	headline-auto
ARMORER'S GUILD	鎧甲師公會	headline-auto
ARMOR PIERCING	穿甲	headline-auto
ARMORY	軍械庫	headline-auto
ARMY STRENGTH	軍隊強度	headline-auto
ARTIFICER	造物師	headline-auto
ASTRAL GATE	星界之門	headline-auto
AURA OF MAJESTY	威嚴光環	headline-auto
AWARENESS	感知術	headline-auto
BANISH	放逐術	headline-auto
BANK	銀行	headline-auto
BARRACKS	兵營	headline-auto
BASILISK	石化蜥	headline-auto
BEHEMOTH	比蒙巨獸	headline-auto
BERSERK	狂暴術	headline-auto
BLACK CHANNELS	黑暗通道	headline-auto
BLACK PRAYER	黑暗祈禱	headline-auto
BLACK SLEEP	黑暗沉眠	headline-auto
BLACK WIND	黑風術	headline-auto
BLESS	祝福	headline-auto
BLUR	朦朧術	headline-auto
BUILDER'S HALL	建造者大廳	headline-auto
BUY	購買	headline-auto
CALL CHAOS	召喚混沌	headline-auto
CALL LIGHTNING	召喚閃電	headline-auto
CALL THE VOID	召喚虛空	headline-auto
CASTING	施法	headline-auto
CATHEDRAL	大教堂	headline-auto
CAUSE FEAR	恐懼術	headline-auto
CHANGE TERRAIN	改變地形	headline-auto
CHANNELER	傳送師	headline-auto
CHAOS	混沌	headline-auto
CHAOS CHANNELS	混沌通道	headline-auto
CHAOS MASTERY	混沌精通	headline-auto
CHAOS RIFT	混沌裂隙	headline-auto
CHAOS SPAWN	混沌孳生體	headline-auto
CHAOS SURGE	混沌洪流	headline-auto
CHARISMATIC	魅力超凡	headline-auto
CHARMED	魅惑	headline-auto
CHARM OF LIFE	生命護符	headline-auto
CHIMERAS	奇美拉	headline-auto
CITY WALLS	城牆	headline-auto
CLOAK OF FEAR	恐懼斗篷	headline-auto
CLOSE	關閉	headline-auto
CLOUD OF SHADOW	暗影之雲	headline-auto
COCKATRICES	雞蛇獸	headline-auto
COLD IMMUNITY	冰霜免疫	headline-auto
COLOSSUS	巨像	headline-auto
CONFUSION	混亂術	headline-auto
CONJURER	召喚師	headline-auto
CONSECRATION	聖化術	headline-auto
CONTINUE	繼續遊戲	headline-auto
CORRUPTION	腐化術	headline-auto
COUNTER MAGIC	反制魔法	headline-auto
CRACKS CALL	地裂術	headline-auto
CREATE ARTIFACT	製造神器	headline-auto
