source	zh	note
Additional Power:	額外法力:
Alliance	同盟	外交選單
Allows	允許建造	建築/法術說明
Arcanian Races:	阿坎努斯種族:	新巫師選種族
Arcanus	阿坎努斯	位面名 (主位面)
Arcanus Plane	阿坎努斯平面	製圖師畫面標題
Armor	護甲
Army Strength	軍隊強度	巫師狀態
Average	普通	難度
Break Alliance With Another Wizard	與他位巫師斷盟	外交
Building Maintenance	建築維護	城市資源明細
Buy	購買	城市生產
Casting	施法
Casting:	施法:
Casting Skill:	施法技巧:
Charges	充能次數	神器/法術
Choose a new spell to research	選擇要研究的新法術
Choose a spell to embed in this item	選擇要附魔到此物品的法術
Cartographer	製圖師	地圖勘查畫面 (位面選擇)
Close	關閉	製圖師/其他畫面右下按鈕 (烘進 LBX 圖的花體字)
Current Status Of Wizards	巫師現況
Declaration of War on Another Wizard	向他位巫師宣戰	外交
Dismiss	解散	單位
Earthquake!	地震!	事件
Easy	簡單	難度
Exchange spells	交換法術	外交
Extreme	極難	難度
Food	食物	城市資源明細
Forget It	算了	外交選單取消
Four	四	對手數量
Gold	金幣	城市資源明細
Gold Bonus	金幣加成
Good bye	再見	外交
Good Bye	再見	外交
Hard	困難	難度
Heroes	英雄
Hire	雇用
Hits	生命	單位屬性(hit points)
How may I serve you:	有何貴幹:	外交對話
Impossible	不可能	難度
Instant	立即	法術施放型態
Intro	入門	難度
Large	大	地圖大小
Magic Power	魔力	資源明細
Magic Reserve:	法力儲備:
Maintenance	維護
Mana:	法力:
Maximum Pop	人口上限	城市
Medium	中	地圖大小
Melee	近戰	單位攻擊
More	更多
Moves	移動	單位移動力
Myrran Races:	米羅種族:	新巫師選種族
Myrror	米羅	位面名 (異位面)
Myrror Plane	米羅平面	製圖師畫面標題
Name	名稱
New Outpost Founded	建立新前哨	事件
Nightshade	夜影草	城市資源加成
Normal	普通	魔法等級
No Spell	無法術
Offer Tribute	進貢	外交
Ok	確定
One	一	對手數量
Peace Treaty	和平條約	外交
Pop	人口	城市
Power	力量	資源明細
Power Base:	力量基礎:
Powerful	強大	魔法等級
Prd	生產	縮寫(production)
Prod Bonus	生產加成
Producing	生產中	城市
Production	生產	資源明細
Propose Treaty	提議條約	外交
Race	種族
Range	遠程	單位攻擊
Range:	遠程:
Reject	拒絕	外交
Researching:	研究中:
Resist	抗性	單位屬性
Road	道路	地形/建造
Screen	畫面	設定選項
Select Banner	選擇旗幟	新巫師
Select Portrait	選擇肖像	新巫師
Select Race	選擇種族	新巫師
Select Wizard	選擇巫師	新巫師
Skill:	施法技巧:
Small	小	地圖大小
Spell Charges	法術充能	神器
Spell Research	法術研究	資源明細
Spells	法術	外交
Summon To:	召喚至:
Surveyor	地形勘查	地圖勘查面板
Threaten/Break Treaty	威脅/毀約	外交
Three	三	對手數量
Time	時間	生產所需回合
Two	二	對手數量
Undead	不死	單位類型
Upkeep	維護費
UPKEEP	維護費
Warped	扭曲	法力節點狀態
Weak	微弱	魔法等級
What do you offer as tribute?	你要進貢什麼?	外交
What spell do you wish to exchange?	你想交換哪個法術?	外交
Wizard Pact	巫師協定	外交
Wizard's Name	巫師姓名
Yes	是	確認對話
You are triumphant	你獲得勝利	戰鬥結果
You have been defeated	你已戰敗	戰鬥結果
You propopse a treaty:	你提議一份條約:	外交(原文拼字 propopse)
Your forces have retreated	你的部隊已撤退	戰鬥結果
Quick Start	快速開始	主選單
Continue	繼續遊戲	主選單
Load	讀取進度	主選單
New Game	新遊戲	主選單
Quit to Dos	離開遊戲	主選單
New Starting City	新城市命名	overworld 標題
Custom	自訂	新巫師選巫師
Alchemy	煉金術	特長(Retort)
Warlord	戰爭領主	特長(Retort)
Channeler	傳送師	特長(Retort)
Archmage	大巫師	特長(Retort)
Artificer	造物師	特長(Retort)
Conjurer	召喚師	特長(Retort)
Sage Master	智慧大師	特長(Retort)
Myrran	米羅人	特長(Retort)
Divine Power	神聖力量	特長(Retort)
Famous	聲名顯赫	特長(Retort)
Runemaster	符文大師	特長(Retort)
Charismatic	魅力超凡	特長(Retort)
Chaos Mastery	混沌精通	特長(Retort)
Nature Mastery	自然精通	特長(Retort)
Sorcery Mastery	魔法精通	特長(Retort)
Infernal Power	地獄力量	特長(Retort)
Mana Focusing	法力聚焦	特長(Retort)
Node Mastery	節點精通	特長(Retort)
# 召喚畫面標題 (summon.go Title, 走 font.translateForDisplay 自動覆蓋)
Magic Spirit Summoned	魔法精靈 召喚完成	summon
Hell Hounds Summoned	地獄犬 召喚完成	summon
Gargoyles Summoned	石像鬼 召喚完成	summon
Fire Giant Summoned	火巨人 召喚完成	summon
Chaos Spawn Summoned	混沌孳生體 召喚完成	summon
Chimeras Summoned	奇美拉 召喚完成	summon
Doom Bat Summoned	厄運蝙蝠 召喚完成	summon
Efreet Summoned	火焰巨靈 召喚完成	summon
Hydra Summoned	九頭蛇 召喚完成	summon
Great Drake Summoned	偉大巨龍 召喚完成	summon
Skeletons Summoned	骷髏 召喚完成	summon
Ghouls Summoned	食屍鬼 召喚完成	summon
Night Stalker Summoned	夜行獵者 召喚完成	summon
WereWolves Summoned	狼人 召喚完成	summon
Wraiths Summoned	幽魂 召喚完成	summon
Shadow Demons Summoned	暗影惡魔 召喚完成	summon
Death Knights Summoned	死亡騎士 召喚完成	summon
Demon Lord Summoned	惡魔領主 召喚完成	summon
Unicorns Summoned	獨角獸 召喚完成	summon
Guardian Spirit Summoned	守護靈 召喚完成	summon
Angel Summoned	天使 召喚完成	summon
Arch Angel Summoned	大天使 召喚完成	summon
War Bears Summoned	戰熊 召喚完成	summon
Sprites Summoned	妖精 召喚完成	summon
Cockatrices Summoned	雞蛇獸 召喚完成	summon
Basilisk Summoned	石化蜥 召喚完成	summon
Giant Spiders Summoned	巨蜘蛛 召喚完成	summon
Stone Giant Summoned	石巨人 召喚完成	summon
Colossus Summoned	巨像 召喚完成	summon
Gorgons Summoned	蛇髮女妖 召喚完成	summon
Earth Elemental Summoned	土元素 召喚完成	summon
Behemoth Summoned	比蒙巨獸 召喚完成	summon
Great Wyrm Summoned	巨蠕龍 召喚完成	summon
Storm Giant Summoned	風暴巨人 召喚完成	summon
Djinn Summoned	迪精 召喚完成	summon
Sky Drake Summoned	天空巨龍 召喚完成	summon
Nagas Summoned	娜迦 召喚完成	summon
Artifact Summoned	神器 製造完成	summon
Hero Summoned	英雄 召喚完成	summon
Champion Summoned	勇者 召喚完成	summon
Forester	林地通	英雄/單位技能
Pathfinding	通行	英雄/單位技能
Mountaineer	山地行者	英雄/單位技能
Armor Piercing	穿甲	英雄/單位技能
Cause Fear	恐懼術	英雄/單位技能
Cold Immunity	冰霜免疫	英雄/單位技能
Death Immunity	死亡免疫	英雄/單位技能
Dispel Evil	驅邪	英雄/單位技能
Fire Immunity	火焰免疫	英雄/單位技能
First Strike	先攻	英雄/單位技能
Healing Spell	治療法術	英雄/單位技能
Holy Bonus	神聖加成	英雄/單位技能
Illusion	幻象	英雄/單位技能
Illusions Immunity	幻象免疫	英雄/單位技能
Immolation	火焰護體	英雄/單位技能
Invisibility	隱形	英雄/單位技能
Large Shield	巨盾	英雄/單位技能
Long Range	遠程攻擊	英雄/單位技能
Magic Immunity	魔法免疫	英雄/單位技能
Meld	融合	英雄/單位技能
Merging	穿透	英雄/單位技能
Missile Immunity	投射物免疫	英雄/單位技能
Negate First Strike	消除先攻	英雄/單位技能
NonCorporeal	無實體	英雄/單位技能
Plane Shift	位面轉移	英雄/單位技能
Poison Immunity	毒素免疫	英雄/單位技能
Poison Touch	毒素接觸	英雄/單位技能
Purify	淨化	英雄/單位技能
Regeneration	再生	英雄/單位技能
Resistance to all	全面抗性	英雄/單位技能
Stoning Immunity	石化免疫	英雄/單位技能
Summon Demons	召喚惡魔	英雄/單位技能
Teleporting	瞬移	英雄/單位技能
Transport	運輸	英雄/單位技能
Wall Crusher	破牆	英雄/單位技能
Weapon Immunity	武器免疫	英雄/單位技能
Web Spell	蛛網法術	英雄/單位技能
Wind Walking	御風而行	英雄/單位技能
Agility	敏捷	英雄技能
Charmed	魅惑	英雄技能
Lucky	幸運	英雄技能
Noble	高貴	英雄技能
Chosen	天選之人	英雄稱號 (Torin)
Draconian	龍族勇士	英雄稱號 (Fang)
Dervish	旋風俠	英雄稱號 (BShan)
Witch	女巫	英雄稱號 (Morgana)
Chaos Warrior	混沌戰士	英雄稱號 (Warrax)
Unknown	未知者	英雄稱號 (MysticX)
Orc Warrior	獸人戰士	英雄稱號 (Bahgtru)
Swordsman	劍士	英雄稱號 (DethStryke)
Rogue	盜賊	英雄稱號 (Spyder)
Knight	騎士	英雄稱號 (SirHarold)
Dwarf	矮人	英雄稱號 (Brax)
Necromancer	死靈法師	英雄稱號 (Ravashack)
Druid	德魯伊	英雄稱號 (Greyfairer)
Amazon	亞馬遜女勇士	英雄稱號 (Shalla)
Paladin	聖騎士	英雄稱號 (Roland)
Magician	魔術師	英雄稱號 (Malleus)
Black Knight	黑騎士	英雄稱號 (Mortu)
Barbarian	蠻族勇士	英雄稱號 (Gunther)
Beastmaster	獸王	英雄稱號 (Rakir)
